"from","to","weight"
"alligator","alligator",1
"alligator","duck",0.2
"alligator","goose",0.0869565217391304
"alligator","horse",0.145161290322581
"alpaca","alpaca",1
"alpaca","camel",0.125
"alpaca","dive",0.166666666666667
"alpaca","goat",0.0714285714285714
"alpaca","llama",0.166666666666667
"alpaca","otter",0.1
"alpaca","pony",0.125
"alpaca","sheep",0.0555555555555556
"ant","ant",1
"ant","bee",0.193548387096774
"ant","beetle",0.0714285714285714
"ant","dog",0.108
"ant","dolphin",0.114285714285714
"ant","fly",0.142857142857143
"ant","hare",0.0357142857142857
"ant","ladybug",0.09375
"ant","robin",0.0714285714285714
"ant","spider",0.333333333333333
"anteater","anteater",1
"anteater","baboon",0.0714285714285714
"anteater","bear",0.0491803278688525
"anteater","grizzly",0.125
"anteater","penguin",0.1
"anteater","polar",0.0952380952380952
"anteater","toucan",0.125
"antelope","antelope",1
"antelope","coyote",0.0909090909090909
"antelope","cricket",0.111111111111111
"antelope","gazelle",0.125
"antelope","squid",0.125
"ape","ape",1
"ape","dog",0.052
"ape","donkey",0.108108108108108
"ape","horse",0.0677966101694915
"armadillo","armadillo",1
"armadillo","baboon",0.1
"armadillo","chinchilla",0.142857142857143
"armadillo","stingray",0.166666666666667
"armadillo","toucan",0.25
"baboon","baboon",1
"baboon","chinchilla",0.0833333333333333
"baboon","grizzly",0.111111111111111
"baboon","polar",0.0434782608695652
"baboon","toucan",0.111111111111111
"badger","badger",1
"badger","boar",0.285714285714286
"badger","hornet",0.25
"badger","ram",0.333333333333333
"bat","bat",1
"bat","cat",0.0566801619433198
"bat","eagle",0.147058823529412
"bat","pig",0.0462962962962963
"bear","bear",1
"bear","cat",0.473895582329317
"bear","deer",0.230263157894737
"bear","dog",0.460629921259843
"bear","hippo",0.144927536231884
"bear","lizard",0.168918918918919
"bear","moose",0.0902255639097744
"bear","penguin",0.1484375
"bear","polar",0.132231404958678
"bear","raccoon",0.106870229007634
"bear","snake",0.36046511627907
"bear","tiger",0.454545454545455
"beaver","beaver",1
"beaver","lemur",0.0588235294117647
"beaver","parrot",0.111111111111111
"beaver","peacock",0.0909090909090909
"beaver","platypus",0.0526315789473684
"bee","bee",1
"bee","beetle",0.0833333333333333
"bee","crocodile",0.0714285714285714
"bee","dolphin",0.0517241379310345
"bee","fly",0.0952380952380952
"bee","ladybug",0.125
"bee","oyster",0.0909090909090909
"bee","robin",0.0833333333333333
"bee","spider",0.09375
"bee","worm",0.117647058823529
"beetle","beetle",1
"beetle","crab",0.1
"beetle","hare",0.25
"beetle","human",0.111111111111111
"beetle","ladybug",0.222222222222222
"beetle","oyster",0.25
"beetle","panther",0.1
"beetle","ram",0.25
"beetle","sea",0.2
"beetle","skunk",0.111111111111111
"bird","bird",1
"bird","cat",0.605577689243028
"bird","dog",0.615079365079365
"bird","fish",0.490196078431373
"bird","lion",0.414414414414414
"bird","shark",0.19672131147541
"bird","turtle",0.189944134078212
"boar","boar",1
"boar","emu",0.0769230769230769
"boar","hornet",0.111111111111111
"boar","possum",0.0714285714285714
"boar","ram",0.125
"bobcat","bobcat",1
"bobcat","ferret",0.0555555555555556
"bobcat","gerbil",0.0769230769230769
"bobcat","tarantula",0.142857142857143
"buffalo","buffalo",1
"buffalo","catfish",0.166666666666667
"buffalo","os",0.166666666666667
"bug","bug",1
"bug","seahorse",0.1
"bug","squid",0.125
"bug","wale",0.142857142857143
"bull","bull",1
"bull","cow",0.106796116504854
"bull","flamingo",0.111111111111111
"bull","pig",0.106796116504854
"bull","sheep",0.0652173913043478
"bunny","bunny",1
"bunny","eagle",0.121951219512195
"bunny","ferret",0.0909090909090909
"bunny","gerbil",0.0689655172413793
"bunny","hamster",0.126760563380282
"bunny","pig",0.0909090909090909
"bunny","tarantula",0.0416666666666667
"butterfly","butterfly",1
"butterfly","hornet",0.111111111111111
"butterfly","ladybug",0.0714285714285714
"butterfly","red",0.125
"camel","camel",1
"camel","dive",0.0714285714285714
"camel","goat",0.06
"camel","llama",0.16
"camel","pony",0.0625
"cardinal","cardinal",1
"cardinal","clam",0.25
"cardinal","dragon",0.2
"cardinal","hog",0.166666666666667
"cardinal","oyster",0.25
"cardinal","roach",0.2
"cardinal","unicorn",0.25
"cat","cat",1
"cat","cow",0.359683794466403
"cat","dog",0.960474308300395
"cat","eagle",0.0931174089068826
"cat","elephant",0.474509803921569
"cat","fish",0.565737051792829
"cat","frog",0.174089068825911
"cat","hamster",0.235772357723577
"cat","horse",0.441767068273092
"cat","lion",0.580392156862745
"cat","lizard",0.201612903225806
"cat","monkey",0.446640316205534
"cat","mouse",0.403225806451613
"cat","panda",0.129554655870445
"cat","penguin",0.101214574898785
"cat","pig",0.370517928286853
"cat","polar",0.0607287449392713
"cat","rabbit",0.258064516129032
"cat","rat",0.283400809716599
"cat","snake",0.430278884462151
"cat","squirrel",0.194331983805668
"cat","tiger",0.505928853754941
"cat","turtle",0.222672064777328
"cat","zebra",0.372
"catfish","catfish",1
"catfish","liger",0.166666666666667
"catfish","os",0.333333333333333
"cheetah","cheetah",1
"cheetah","cow",0.118181818181818
"cheetah","frog",0.15
"cheetah","horse",0.104
"chicken","chicken",1
"chicken","cow",0.386792452830189
"chicken","duck",0.176470588235294
"chicken","goat",0.236111111111111
"chicken","horse",0.191176470588235
"chicken","pig",0.336363636363636
"chicken","turkey",0.240740740740741
"chimp","chimp",1
"chimp","crocodile",0.125
"chimp","ostrich",0.0769230769230769
"chimpanzee","chimpanzee",1
"chimpanzee","clam",0.111111111111111
"chimpanzee","crab",0.0666666666666667
"chimpanzee","lobster",0.0769230769230769
"chinchilla","chinchilla",1
"chinchilla","toucan",0.166666666666667
"chipmunk","chipmunk",1
"chipmunk","pigeon",0.125
"chipmunk","raven",0.142857142857143
"chipmunk","swan",0.125
"clam","clam",1
"clam","crab",0.111111111111111
"clam","dinosaur",0.111111111111111
"clam","hog",0.2
"clam","lobster",0.142857142857143
"clam","oyster",0.333333333333333
"clam","shrimp",0.2
"clownfish","clownfish",1
"clownfish","falcon",0.25
"clownfish","goldfish",0.333333333333333
"clownfish","squid",0.2
"clownfish","vulture",0.25
"cougar","cougar",1
"cougar","pigeon",0.142857142857143
"cougar","platypus",0.0666666666666667
"cow","cow",1
